epsilon,qtable
"[0.30961862850066435, 0.7740609345731032, 0.6302494097246091, 0.44212584120817466]","[0.5568000000000001,0.0,2.1357994278912007,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.2227570537529355,2.2891392000000006,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.2942138190337915, 0.7740609345731032, 0.6302494097246091, 0.4201174104462437]","[0.5568000000000001,0.0,2.0749018143129607,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1444679150023487,2.831311360000001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.27955066488620084, 0.7740609345731032, 0.6302494097246091, 0.39914168521352833]","[0.5568000000000001,0.0,2.1129312690503688,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1685841496018794,3.265049088000001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.26569790838320345, 0.7740609345731032, 0.6302494097246091, 0.3792954645513715]","[0.5568000000000001,0.0,2.2127528693202954,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.2572751737615038,2.572039270400001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.25245179331951706, 0.7740609345731032, 0.6302494097246091, 0.3603806022465855]","[0.5568000000000001,0.0,2.1817285787202367,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.217346422273203,2.572039270400001,0.5680000000000001,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.23986022794015976, 0.7740609345731032, 0.6302494097246091, 0.3603806022465855]","[0.5568000000000001,0.0,2.1569091462401895,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.217346422273203,2.572039270400001,0.5680000000000001,-0.11808000000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.22789203597359328, 0.7740609345731032, 0.6302494097246091, 0.3424015008772567]","[0.5568000000000001,0.0,2.1370536002561518,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1854034210825626,2.572039270400001,0.4144000000000001,-0.11808000000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.21651728971985393, 0.7740609345731032, 0.6302494097246091, 0.30907325478745423]","[0.5568000000000001,0.0,2.1211691634689216,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1394054993680407,2.572039270400001,0.4144000000000001,-0.13446400000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.20570730967011405, 0.7740609345731032, 0.6302494097246091, 0.2936400355677043]","[0.5568000000000001,0.0,2.1084616140391375,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.123050682758433,3.057631416320001,0.4144000000000001,-0.13446400000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.1955063549861701, 0.7740609345731032, 0.6302494097246091, 0.27903879733165327]","[0.5568000000000001,0.0,2.17599031784251,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1876615728179467,2.406105133056001,0.4144000000000001,-0.13446400000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
